"nombre";"sexo";"2015";"2016";"2017";"2018";"2019";"2020";"n_total"
"Yair";"M";"27";"22";"22";"23";"23";"27";"144"
"Ibrahim";"M";"18";"16";"16";"29";"37";"26";"142"
"Ithan";"M";"24";"23";"29";"23";"22";"19";"140"
"Josías";"M";"20";"20";"27";"19";"19";"34";"139"
"Natanael";"M";"17";"20";"20";"27";"25";"30";"139"
"Esai";"M";"50";"33";"18";"16";"21";NA;"138"
"Eliam";"M";"17";"23";"31";"25";"18";"24";"138"
"Ander";"M";"25";"20";"17";NA;"17";"58";"137"
"Tadeo";"M";"20";"17";"22";"18";"26";"31";"134"
"Antu";"M";"27";"24";"21";"22";"18";"20";"132"
"Lucca";"M";"17";NA;"23";"15";"38";"37";"130"
"Maicol";"M";"31";"29";"19";"32";NA;"18";"129"
"Yoel";"M";"21";"28";"20";"21";"15";"24";"129"
"Adiel";"M";"28";"34";"29";"21";"16";NA;"128"
"Nathaniel";"M";"19";"22";"30";"16";"19";"20";"126"
"Adriano";"M";NA;"21";"20";"29";"25";"30";"125"
"Jhoan";"M";"26";"22";"20";"17";"15";"24";"124"
"Lían";"M";"18";"17";"18";"23";"24";"23";"123"
"Eliel";"M";"18";NA;NA;"19";"43";"42";"122"
"Karim";"M";"19";"24";"21";"17";"22";"18";"121"
"Antü";"M";NA;"16";"21";"28";"26";"30";"121"
"Estefano";"M";"30";"36";"23";"15";"16";NA;"120"
"Aldo";"M";"26";"18";"26";"17";"16";"16";"119"
"Wladimir";"M";"33";"29";"20";"15";"20";NA;"117"
"Emerson";"M";"28";"30";NA;"26";"15";"15";"114"
"Francesco";"M";NA;"19";"26";"31";"15";"23";"114"
"Adam";"M";NA;"18";"18";"32";"21";"25";"114"
"Teodoro";"M";NA;"28";"18";"20";"21";"26";"113"
"Anthuan";"M";"19";"33";"24";NA;"21";"15";"112"
"Tristán";"M";"27";"21";NA;"23";"21";"19";"111"
"Henry";"M";"21";"19";"19";"16";"20";"15";"110"
"Mike";"M";NA;NA;NA;"27";"43";"40";"110"
"Leónidas";"M";"19";NA;"22";"26";"19";"23";"109"
"Jadiel";"M";"36";"32";"21";"19";NA;NA;"108"
"Isaí";"M";"19";NA;"22";"20";"18";"28";"107"
"Brian";"M";"32";"22";"18";"15";"17";NA;"104"
"Eliseo";"M";NA;"17";"19";"17";"27";"24";"104"
"Vincent";"M";"24";"27";NA;"16";"16";"20";"103"
"Jerónimo";"M";NA;"23";"20";"27";"18";"15";"103"
"Raphael";"M";"21";NA;"15";"25";"22";"19";"102"
"Gianluca";"M";NA;"18";"20";"23";"18";"22";"101"
"Juaquin";"M";"20";"21";"23";"18";NA;"18";"100"
"Marvens";"M";NA;NA;NA;"40";"31";"29";"100"
"Uriel";"M";"15";NA;NA;"34";"22";"28";"99"
"Cristhian";"M";"21";"24";"16";"19";"17";NA;"97"
"Adán";"M";"18";"18";"21";"24";NA;"16";"97"
"Maikel";"M";"38";"16";"23";NA;"19";NA;"96"
"Adonis";"M";"16";NA;"18";"20";"22";"20";"96"
"Lucio";"M";"16";"21";NA;"20";"18";"20";"95"
"Kilian";"M";NA;NA;"20";"33";"19";"23";"95"
"Dominic";"M";"16";"15";"17";NA;"17";"28";"93"
"Matthew";"M";NA;NA;"18";"17";"28";"30";"93"
"Josias";"M";"15";NA;"16";"17";"17";"26";"91"
"Aukan";"M";NA;"19";NA;"17";"29";"26";"91"
